scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
leucocoprinus fuligineopunctatus,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_fuligineopunctatus
leucocoprinus microlepis,none,gills,"flat, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_microlepis
leucocoprinus scissus,none,gills,"flat, conical",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_scissus
leucoagaricus tricolor,none,gills,convex,free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_tricolor
cystolepiota albogilva,none,gills,convex,free,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Cystolepiota_albogilva
cystolepiota amazonica,none,gills,campanulate,"free, adnexed",bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Cystolepiota_amazonica
hericium clathroides,none,teeth,none,none,none,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Hericium_clathroides
leucoagaricus griseosquamosus,none,gills,"umbonate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_griseosquamosus
leucoagaricus croceovelutinus,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_croceovelutinus
leucoagaricus croceus,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_croceus
leucoagaricus laosensis,none,gills,"convex, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_laosensis
hericium flagellum,none,teeth,none,none,none,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Hericium_flagellum
clitocybula ellipsospora,none,gills,convex,adnate,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Clitocybula_ellipsospora
boletus nobilis,noble bolete,pores,convex,adnate,bare,brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Boletus_nobilis
cantharellus anzutake,japanese golden chanterelle,ridges,infundibuliform,decurrent,bare,cream,mycorrhizal,choice,https://en.wikipedia.org/wiki/Cantharellus_anzutake
boletus nobilissimus,none,pores,convex,adnate,bare,brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Boletus_nobilissimus
aleurodiscus oakesii,none,smooth,depressed,none,none,cream,saprotrophic,inedible,https://en.wikipedia.org/wiki/Aleurodiscus_oakesii
boletinellus monticola,none,pores,flat,none,bare,yellow,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Boletinellus_monticola
boletus patrioticus,patriotic bolete,pores,convex,adnate,bare,olive-brown,mycorrhizal,unpalatable,https://en.wikipedia.org/wiki/Boletus_patrioticus
chroogomphus ochraceus,none,gills,"conical, flat",decurrent,bare,black,parasitic,edible,https://en.wikipedia.org/wiki/Chroogomphus_ochraceus
agaricus lanatoniger,none,gills,convex,free,ring,blackish-brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Agaricus_lanatoniger
